top - 15:51:12 up  4:42,  1 user,  load average: 0.75, 1.11, 0.81
Tasks: 263 total,   2 running, 261 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10.3 us,  0.5 sy,  0.0 ni, 88.7 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
MiB Mem :  15841.9 total,  12117.1 free,   1580.9 used,   2144.0 buff/cache
MiB Swap:   5120.0 total,   5120.0 free,      0.0 used.  13191.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  21199 robdres   20   0   25816  16480   5380 R 100.0   0.1   0:00.16 python3
  19678 robdres   20   0   10.4g 303564 108944 S  13.3   1.9   0:56.22 QtWebEngineProc
      1 root      20   0  166204  11760   9000 S   0.0   0.1   0:00.92 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_kthread
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_trace_kthread
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftirqd/0
     15 root      -2   0       0      0      0 I   0.0   0.0   0:00.56 rcu_preempt
     16 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcub/0
     17 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/0
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/0
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migration/1
     24 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/1
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/1
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     29 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     30 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migration/2
     31 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/2
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/2
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     36 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     37 root      rt   0       0      0      0 S   0.0   0.0   0:00.09 migration/3
     38 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/3
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/3
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     44 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migration/4
     45 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/4
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/4
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-events_highpri
     49 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     50 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     51 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migration/5
     52 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/5
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.16 ksoftirqd/5
     55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     57 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/6
     58 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migration/6
     59 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/6
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/6
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-kblockd
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/7
     65 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migration/7
     66 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/7
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/7
